pdb_id,ligand,source,scenario,pose_name,pose_path,status,method,rmsd_angstrom,n_atoms_ref,n_atoms_pose,n_atoms_mapped,mapping_coverage,ref_residue,pose_residue,error
3M67,E36,diffdock_sdf,diffdock,rank2_confidence-0.17|idx_2,output/diffdock_workflow/poses/3M67/complex_0/rank2_confidence-0.17.sdf,ok_low_coverage,atom_name,5.131719435099713,28.0,28.0,13.0,0.4642857142857143,E36|A|262,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M67,E36,diffdock_sdf,diffdock,rank3_confidence-0.28|idx_3,output/diffdock_workflow/poses/3M67/complex_0/rank3_confidence-0.28.sdf,ok_low_coverage,atom_name,5.231123574062813,28.0,28.0,13.0,0.4642857142857143,E36|A|262,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M67,E36,diffdock_sdf,diffdock,rank4_confidence-0.31|idx_4,output/diffdock_workflow/poses/3M67/complex_0/rank4_confidence-0.31.sdf,ok_low_coverage,atom_name,5.178622661421163,28.0,28.0,13.0,0.4642857142857143,E36|A|262,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M67,E36,diffdock_complex_pdb,diffdock,3M67_diffdock_complex,output/diffdock_workflow/complexes/3M67_diffdock_complex.pdb,ok,rdkit_best_rms,0.6979954425232631,28.0,28.0,28.0,1.0,E36|A|262,UNL|L|1,
3M67,E36,boltz_cif,crystal_pocket,3M67_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M67_crystal_pocket/3M67_crystal_pocket_model_0.cif,ok,rdkit_best_rms,0.7329998624108761,28.0,28.0,28.0,1.0,E36|A|262,LIG1|E36|1,
3M67,E36,boltz_cif,default,3M67_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M67_default/3M67_default_model_0.cif,ok,rdkit_best_rms,0.7368240366472157,28.0,28.0,28.0,1.0,E36|A|262,LIG1|E36|1,
3M67,E36,boltz_cif,diffdock_pocket,3M67_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M67_diffdock_pocket/3M67_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,0.757558996046329,28.0,28.0,28.0,1.0,E36|A|262,LIG1|E36|1,
3M98,E02,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3M98/complex_0/rank1.sdf,ok_low_coverage,atom_name,3.120958148047966,23.0,23.0,16.0,0.6956521739130435,E02|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M98,E02,diffdock_sdf,diffdock,rank1_confidence-0.14|idx_1,output/diffdock_workflow/poses/3M98/complex_0/rank1_confidence-0.14.sdf,ok_low_coverage,atom_name,3.120958148047966,23.0,23.0,16.0,0.6956521739130435,E02|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M98,E02,diffdock_sdf,diffdock,rank2_confidence-0.40|idx_2,output/diffdock_workflow/poses/3M98/complex_0/rank2_confidence-0.40.sdf,ok_low_coverage,atom_name,3.1596945950952344,23.0,23.0,16.0,0.6956521739130435,E02|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
